metric_name,metric_id,numerator_observations,denominator_observations,numerator_uniq,denominator_uniq,numerator_threshold,denominator_threshold,date_filter,num_sources,den_sources,sources
c_developer_map,92834000009,contacts_developer_from_map,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
c_pro_image,92498250002,contact_pro_image,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
calls_map,24164500007,"answered_proxy_calls_map,missed_proxy_calls_map",,,,0,0,,matched_anonymous_calls_metric_observation,,matched_anonymous_calls_metric_observation
classified_arpu_net_adj,4927250003,"vas_amount_net_adj,ext_amount_net_adj,subs_amount_net_adj,lf_amount_net_adj",active_listers,,,0,0,,b2b_core_daily_metric_observation,c2c_core_daily_metric_observation,"c2c_core_daily_metric_observation,b2b_core_daily_metric_observation"
classified_users,4927250008,"vas_users,subs_users,lf_users,ext_users",,,,0,0,,b2b_core_daily_metric_observation,,b2b_core_daily_metric_observation
connection_percent_p50,38793750008,connection_events_p50,connection_events,,,0,0,,web_performance_metric_observation,web_performance_metric_observation,"web_performance_metric_observation,web_performance_metric_observation"
contacts_canonical,4873000007,contacts_csc_cannonical,,,,0,0,,contacts_stream_observation,,contacts_stream_observation
contacts_rec_u2i_vas,34018750021,contacts_rec_u2i_vas,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
content_paint_session_percent_p25,42205500001,content_paint_session_events_p25,content_paint_session_events,,,0,0,,web_performance_metric_observation,web_performance_metric_observation,"web_performance_metric_observation,web_performance_metric_observation"
dom_interactive_session_percent_p75,39889250004,dom_interactive_session_events_p75,dom_interactive_session_events,,,0,0,,web_performance_metric_observation,web_performance_metric_observation,"web_performance_metric_observation,web_performance_metric_observation"
draw_session_percent_p75,35712250005,draw_sessions_p75,draw_sessions,,,0,0,,new_performance_metric_observation,new_performance_metric_observation,"new_performance_metric_observation,new_performance_metric_observation"
init_session_percent_p95,35712250009,init_sessions_p95,init_sessions,,,0,0,,new_performance_metric_observation,new_performance_metric_observation,"new_performance_metric_observation,new_performance_metric_observation"
item_views_any_ext_block,74403750003,"item_views_delivery,item_views_regions",,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
item_views_premium_per_search,1898250050,item_views_premium,searches_serp,,,0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
item_views_rec_u2i_vip,34018750046,item_views_rec_u2i_vip,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
item_views_vip_per_search,1898250060,item_views_vip,searches_serp,,,0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
items_allowed,3772750003,items_allowed,,,,0,0,,sellerx_metric_observation_w_startdate,,sellerx_metric_observation_w_startdate
items_delivery_category_soa,4921000011,items_delivery_category_soa,,,,0,0,,delivery_metric_observation,,delivery_metric_observation
items_no_address_string_new_per_new,53780750030,item_no_address_string_new,items_started,,,0,0,,item_geo_metric_observation,sellerx_metric_observation_w_startdate,"sellerx_metric_observation_w_startdate,item_geo_metric_observation"
items_rejected_contacts_in_description_start_date,17744500025,items_rejected_contacts_in_description,,,,0,0,start,sellerx_metric_observation_w_startdate,,sellerx_metric_observation_w_startdate
items_rejected_start_date,4584000010,items_rejected,,,,0,0,start,sellerx_metric_observation_w_startdate,,sellerx_metric_observation_w_startdate
items_started_free,17744500044,items_started_free,,,,0,0,,sellerx_metric_observation_w_startdate,,sellerx_metric_observation_w_startdate
items_started_wait,17744500046,items_started_wait,,,,0,0,,sellerx_metric_observation_w_startdate,,sellerx_metric_observation_w_startdate
